1.86 85.71 83.09
1.88 87.65 83.82
1.56 51.90 44.49
1.53 54.69 52.27
1.63 60.27 58.34
1.84 89.28 85.52
1.59 61.46 59.83
1.93 93.33 91.44
1.69 62.93 63.94
1.68 69.61 66.69
1.63 65.38 57.13
1.73 81.05 78.20
1.65 69.97 66.56
1.76 73.42 69.90
1.85 86.82 85.86
1.82 90.45 87.74
1.71 62.55 62.07
1.78 72.76 68.45
1.80 81.97 82.63
1.69 69.23 66.79
1.84 84.44 82.11
1.75 72.66 68.00
1.97 94.19 91.29
1.60 56.00 52.13
1.62 59.26 55.58
1.85 85.05 79.27
1.83 82.27 76.88
1.77 67.68 63.45
1.62 56.25 52.64
1.68 69.61 69.33
1.77 74.93 71.48
1.77 77.34 74.83
1.72 70.48 67.46
1.96 86.55 88.74
1.94 86.71 80.03
1.91 87.28 86.47
1.70 71.89 69.69
1.74 79.26 75.66
1.78 83.68 83.85
1.75 80.58 74.43
1.84 83.15 76.27
1.60 57.63 54.12
1.67 66.20 61.29
1.76 84.60 81.60
1.57 54.00 50.24
1.78 76.99 75.04
1.54 44.66 43.32
1.75 72.95 67.79
1.80 86.65 82.77
1.91 91.68 87.81
1.74 72.63 70.57
1.70 60.82 57.81
1.83 82.31 79.50
1.67 62.29 58.18
1.88 91.57 84.23
1.86 84.26 80.03
1.82 79.69 75.17
1.73 78.10 76.70
1.66 69.39 67.40
1.77 83.86 83.25
1.89 87.93 82.78
1.61 56.07 53.22
1.85 80.40 80.43
1.75 73.63 72.27
1.67 72.86 71.09
1.78 76.18 75.72
1.76 77.42 74.00
1.65 64.00 57.03
1.82 81.53 76.89
1.82 82.53 83.66
1.69 61.62 61.39
1.56 53.73 49.75
1.66 66.77 66.23
1.84 78.96 81.18
1.83 79.23 76.05
1.75 84.95 82.16
1.80 76.95 72.93
1.67 70.68 66.39
1.80 80.53 79.21
1.70 66.36 59.36
1.72 66.34 61.31
1.73 72.17 66.34
1.83 80.09 79.08
1.90 93.24 85.30
1.64 72.63 69.07
1.85 86.38 81.73
1.74 64.94 59.78
1.76 76.91 73.28
1.91 93.66 89.96
1.82 84.38 78.02
1.75 82.26 79.71
1.64 68.72 64.50
1.88 91.53 87.90
1.53 51.78 49.85
1.62 59.17 54.43
1.72 72.27 66.79
1.66 67.60 60.17
1.68 72.86 67.61
1.68 75.96 72.81
1.89 92.36 87.50
